Char Dec  Hex  Entity                         Name
←    8592 2190 &larr;  LEFTWARDS ARROW
⇂    8642 21C2         DOWNWARDS HARPOON WITH BARB RIGHTWARDS
⇃    8643 21C3         DOWNWARDS HARPOON WITH BARB LEFTWARDS
⇄    8644 21C4         RIGHTWARDS ARROW OVER LEFTWARDS ARROW
⇅    8645 21C5         UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
⇆    8646 21C6         LEFTWARDS ARROW OVER RIGHTWARDS ARROW
⇇    8647 21C7         LEFTWARDS PAIRED ARROWS
⇈    8648 21C8         UPWARDS PAIRED ARROWS
⇉    8649 21C9         RIGHTWARDS PAIRED ARROWS
⇊    8650 21CA         DOWNWARDS PAIRED ARROWS
⇋    8651 21CB         LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
⇌    8652 21CC         RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
⇍    8653 21CD         LEFTWARDS DOUBLE ARROW WITH STROKE
⇎    8654 21CE         LEFT RIGHT DOUBLE ARROW WITH STROKE
⇏    8655 21CF         RIGHTWARDS DOUBLE ARROW WITH STROKE
⇐    8656 21D0 &lArr;  LEFTWARDS DOUBLE ARROW
⇑    8657 21D1 &uArr;  UPWARDS DOUBLE ARROW
⇒    8658 21D2 &rArr;  RIGHTWARDS DOUBLE ARROW
⇓    8659 21D3 &dArr;  DOWNWARDS DOUBLE ARROW
⇔    8660 21D4 &hArr;  LEFT RIGHT DOUBLE ARROW
⇕    8661 21D5         UP DOWN DOUBLE ARROW
⇖    8662 21D6         NORTH WEST DOUBLE ARROW
⇗    8663 21D7         NORTH EAST DOUBLE ARROW
⇘    8664 21D8         SOUTH EAST DOUBLE ARROW
⇙    8665 21D9         SOUTH WEST DOUBLE ARROW
⇚    8666 21DA         LEFTWARDS TRIPLE ARROW
⇛    8667 21DB         RIGHTWARDS TRIPLE ARROW
⇜    8668 21DC         LEFTWARDS SQUIGGLE ARROW
⇝    8669 21DD         RIGHTWARDS SQUIGGLE ARROW
⇞    8670 21DE         UPWARDS ARROW WITH DOUBLE STROKE
⇟    8671 21DF         DOWNWARDS ARROW WITH DOUBLE STROKE
⇠    8672 21E0         LEFTWARDS DASHED ARROW
⇡    8673 21E1         UPWARDS DASHED ARROW
⇢    8674 21E2         RIGHTWARDS DASHED ARROW
⇣    8675 21E3         DOWNWARDS DASHED ARROW
⇤    8676 21E4         LEFTWARDS ARROW TO BAR
⇥    8677 21E5         RIGHTWARDS ARROW TO BAR
⇦    8678 21E6         LEFTWARDS WHITE ARROW
⇧    8679 21E7         UPWARDS WHITE ARROW
⇨    8680 21E8         RIGHTWARDS WHITE ARROW
⇩    8681 21E9         DOWNWARDS WHITE ARROW
⇪    8682 21EA         UPWARDS WHITE ARROW FROM BAR
⇫    8683 21EB         UPWARDS WHITE ARROW ON PEDESTAL
⇬    8684 21EC         UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
⇭    8685 21ED         UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
⇮    8686 21EE         UPWARDS WHITE DOUBLE ARROW
⇯    8687 21EF         UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
⇰    8688 21F0         RIGHTWARDS WHITE ARROW FROM WALL
⇱    8689 21F1         NORTH WEST ARROW TO CORNER
⇲    8690 21F2         SOUTH EAST ARROW TO CORNER
⇳    8691 21F3         UP DOWN WHITE ARROW
⇴    8692 21F4         RIGHT ARROW WITH SMALL CIRCLE
⇵    8693 21F5         DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
⇶    8694 21F6         THREE RIGHTWARDS ARROWS
⇷    8695 21F7         LEFTWARDS ARROW WITH VERTICAL STROKE
⇸    8696 21F8         RIGHTWARDS ARROW WITH VERTICAL STROKE
⇹    8697 21F9         LEFT RIGHT ARROW WITH VERTICAL STROKE
⇺    8698 21FA         LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
⇻    8699 21FB         RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
⇼    8700 21FC         LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
⇽    8701 21FD         LEFTWARDS OPEN-HEADED ARROW
⇾    8702 21FE         RIGHTWARDS OPEN-HEADED ARROW
⇿    8703 21FF         LEFT RIGHT OPEN-HEADED ARROW

