Char Dec Hex   Entity                          Name
Ƴ    435 01B3          LATIN CAPITAL LETTER Y WITH HOOK
ƴ    436 01B4          LATIN SMALL LETTER Y WITH HOOK
Ƶ    437 01B5 &imped;  LATIN CAPITAL LETTER Z WITH STROKE
ƶ    438 01B6          LATIN SMALL LETTER Z WITH STROKE
Ʒ    439 01B7          LATIN CAPITAL LETTER EZH
Ƹ    440 01B8          LATIN CAPITAL LETTER EZH REVERSED
ƹ    441 01B9          LATIN SMALL LETTER EZH REVERSED
ƺ    442 01BA          LATIN SMALL LETTER EZH WITH TAIL
ƻ    443 01BB          LATIN LETTER TWO WITH STROKE
Ƽ    444 01BC          LATIN CAPITAL LETTER TONE FIVE
ƽ    445 01BD          LATIN SMALL LETTER TONE FIVE
ƾ    446 01BE          LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
ƿ    447 01BF          LATIN LETTER WYNN
ǀ    448 01C0          LATIN LETTER DENTAL CLICK
ǁ    449 01C1          LATIN LETTER LATERAL CLICK
ǂ    450 01C2          LATIN LETTER ALVEOLAR CLICK
ǃ    451 01C3          LATIN LETTER RETROFLEX CLICK
Ǆ    452 01C4          LATIN CAPITAL LETTER DZ WITH CARON
ǅ    453 01C5          LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
ǆ    454 01C6          LATIN SMALL LETTER DZ WITH CARON
Ǉ    455 01C7          LATIN CAPITAL LETTER LJ
ǈ    456 01C8          LATIN CAPITAL LETTER L WITH SMALL LETTER J
ǉ    457 01C9          LATIN SMALL LETTER LJ
Ǌ    458 01CA          LATIN CAPITAL LETTER NJ
ǋ    459 01CB          LATIN CAPITAL LETTER N WITH SMALL LETTER J
ǌ    460 01CC          LATIN SMALL LETTER NJ
Ǎ    461 01CD          LATIN CAPITAL LETTER A WITH CARON
ǎ    462 01CE          LATIN SMALL LETTER A WITH CARON
Ǐ    463 01CF          LATIN CAPITAL LETTER I WITH CARON
ǐ    464 01D0          LATIN SMALL LETTER I WITH CARON
Ǒ    465 01D1          LATIN CAPITAL LETTER O WITH CARON
ǒ    466 01D2          LATIN SMALL LETTER O WITH CARON
Ǔ    467 01D3          LATIN CAPITAL LETTER U WITH CARON
ǔ    468 01D4          LATIN SMALL LETTER U WITH CARON
Ǖ    469 01D5          LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
ǖ    470 01D6          LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
Ǘ    471 01D7          LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
ǘ    472 01D8          LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
Ǚ    473 01D9          LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
ǚ    474 01DA          LATIN SMALL LETTER U WITH DIAERESIS AND CARON
Ǜ    475 01DB          LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
ǜ    476 01DC          LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
ǝ    477 01DD          LATIN SMALL LETTER TURNED E
Ǟ    478 01DE          LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
ǟ    479 01DF          LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
Ǡ    480 01E0          LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
ǡ    481 01E1          LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
Ǣ    482 01E2          LATIN CAPITAL LETTER AE WITH MACRON
ǣ    483 01E3          LATIN SMALL LETTER AE WITH MACRON
Ǥ    484 01E4          LATIN CAPITAL LETTER G WITH STROKE
ǥ    485 01E5          LATIN SMALL LETTER G WITH STROKE
Ǧ    486 01E6          LATIN CAPITAL LETTER G WITH CARON
ǧ    487 01E7          LATIN SMALL LETTER G WITH CARON
Ǩ    488 01E8          LATIN CAPITAL LETTER K WITH CARON
ǩ    489 01E9          LATIN SMALL LETTER K WITH CARON
Ǫ    490 01EA          LATIN CAPITAL LETTER O WITH OGONEK
ǫ    491 01EB          LATIN SMALL LETTER O WITH OGONEK
Ǭ    492 01EC          LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
ǭ    493 01ED          LATIN SMALL LETTER O WITH OGONEK AND MACRON
Ǯ    494 01EE          LATIN CAPITAL LETTER EZH WITH CARON
ǯ    495 01EF          LATIN SMALL LETTER EZH WITH CARON
ǰ    496 01F0          LATIN SMALL LETTER J WITH CARON
Ǳ    497 01F1          LATIN CAPITAL LETTER DZ
ǲ    498 01F2          LATIN CAPITAL LETTER D WITH SMALL LETTER Z
ǳ    499 01F3          LATIN SMALL LETTER DZ
Ǵ    500 01F4          LATIN CAPITAL LETTER G WITH ACUTE
ǵ    501 01F5 &gacute; LATIN SMALL LETTER G WITH ACUTE
Ƕ    502 01F6          LATIN CAPITAL LETTER HWAIR
Ƿ    503 01F7          LATIN CAPITAL LETTER WYNN
Ǹ    504 01F8          LATIN CAPITAL LETTER N WITH GRAVE
ǹ    505 01F9          LATIN SMALL LETTER N WITH GRAVE
Ǻ    506 01FA          LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
ǻ    507 01FB          LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
Ǽ    508 01FC          LATIN CAPITAL LETTER AE WITH ACUTE
ǽ    509 01FD          LATIN SMALL LETTER AE WITH ACUTE
Ǿ    510 01FE          LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
ǿ    511 01FF          LATIN SMALL LETTER O WITH STROKE AND ACUTE
Ȁ    512 0200          LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
ȁ    513 0201          LATIN SMALL LETTER A WITH DOUBLE GRAVE
Ȃ    514 0202          LATIN CAPITAL LETTER A WITH INVERTED BREVE
ȃ    515 0203          LATIN SMALL LETTER A WITH INVERTED BREVE
Ȅ    516 0204          LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
ȅ    517 0205          LATIN SMALL LETTER E WITH DOUBLE GRAVE
Ȇ    518 0206          LATIN CAPITAL LETTER E WITH INVERTED BREVE
ȇ    519 0207          LATIN SMALL LETTER E WITH INVERTED BREVE
Ȉ    520 0208          LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
ȉ    521 0209          LATIN SMALL LETTER I WITH DOUBLE GRAVE
Ȋ    522 020A          LATIN CAPITAL LETTER I WITH INVERTED BREVE
ȋ    523 020B          LATIN SMALL LETTER I WITH INVERTED BREVE
Ȍ    524 020C          LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
ȍ    525 020D          LATIN SMALL LETTER O WITH DOUBLE GRAVE
Ȏ    526 020E          LATIN CAPITAL LETTER O WITH INVERTED BREVE
ȏ    527 020F          LATIN SMALL LETTER O WITH INVERTED BREVE
Ȑ    528 0210          LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
ȑ    529 0211          LATIN SMALL LETTER R WITH DOUBLE GRAVE
Ȓ    530 0212          LATIN CAPITAL LETTER R WITH INVERTED BREVE
ȓ    531 0213          LATIN SMALL LETTER R WITH INVERTED BREVE
Ȕ    532 0214          LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
ȕ    533 0215          LATIN SMALL LETTER U WITH DOUBLE GRAVE
Ȗ    534 0216          LATIN CAPITAL LETTER U WITH INVERTED BREVE
ȗ    535 0217          LATIN SMALL LETTER U WITH INVERTED BREVE
Ș    536 0218          LATIN CAPITAL LETTER S WITH COMMA BELOW
ș    537 0219          LATIN SMALL LETTER S WITH COMMA BELOW
Ț    538 021A          LATIN CAPITAL LETTER T WITH COMMA BELOW
ț    539 021B          LATIN SMALL LETTER T WITH COMMA BELOW
Ȝ    540 021C          LATIN CAPITAL LETTER YOGH
ȝ    541 021D          LATIN SMALL LETTER YOGH
Ȟ    542 021E          LATIN CAPITAL LETTER H WITH CARON
ȟ    543 021F          LATIN SMALL LETTER H WITH CARON
Ƞ    544 0220          LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
ȡ    545 0221          LATIN SMALL LETTER D WITH CURL
Ȣ    546 0222          LATIN CAPITAL LETTER OU
ȣ    547 0223          LATIN SMALL LETTER OU
Ȥ    548 0224          LATIN CAPITAL LETTER Z WITH HOOK
ȥ    549 0225          LATIN SMALL LETTER Z WITH HOOK
Ȧ    550 0226          LATIN CAPITAL LETTER A WITH DOT ABOVE
ȧ    551 0227          LATIN SMALL LETTER A WITH DOT ABOVE
Ȩ    552 0228          LATIN CAPITAL LETTER E WITH CEDILLA
ȩ    553 0229          LATIN SMALL LETTER E WITH CEDILLA
Ȫ    554 022A          LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
ȫ    555 022B          LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
Ȭ    556 022C          LATIN CAPITAL LETTER O WITH TILDE AND MACRON
ȭ    557 022D          LATIN SMALL LETTER O WITH TILDE AND MACRON
Ȯ    558 022E          LATIN CAPITAL LETTER O WITH DOT ABOVE
ȯ    559 022F          LATIN SMALL LETTER O WITH DOT ABOVE
Ȱ    560 0230          LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
ȱ    561 0231          LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
Ȳ    562 0232          LATIN CAPITAL LETTER Y WITH MACRON
ȳ    563 0233          LATIN SMALL LETTER Y WITH MACRON
ȴ    564 0234          LATIN SMALL LETTER L WITH CURL
ȵ    565 0235          LATIN SMALL LETTER N WITH CURL
ȶ    566 0236          LATIN SMALL LETTER T WITH CURL
ȷ    567 0237 &jmath;  LATIN SMALL LETTER DOTLESS J
ȸ    568 0238          LATIN SMALL LETTER DB DIGRAPH
ȹ    569 0239          LATIN SMALL LETTER QP DIGRAPH
Ⱥ    570 023A          LATIN CAPITAL LETTER A WITH STROKE
Ȼ    571 023B          LATIN CAPITAL LETTER C WITH STROKE
ȼ    572 023C          LATIN SMALL LETTER C WITH STROKE
Ƚ    573 023D          LATIN CAPITAL LETTER L WITH BAR
Ⱦ    574 023E          LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
ȿ    575 023F          LATIN SMALL LETTER S WITH SWASH TAIL
ɀ    576 0240          LATIN SMALL LETTER Z WITH SWASH TAIL
Ɂ    577 0241          LATIN CAPITAL LETTER GLOTTAL STOP
ɂ    578 0242          LATIN SMALL LETTER GLOTTAL STOP
Ƀ    579 0243          LATIN CAPITAL LETTER B WITH STROKE
Ʉ    580 0244          LATIN CAPITAL LETTER U BAR
Ʌ    581 0245          LATIN CAPITAL LETTER TURNED V
Ɇ    582 0246          LATIN CAPITAL LETTER E WITH STROKE
ɇ    583 0247          LATIN SMALL LETTER E WITH STROKE
Ɉ    584 0248          LATIN CAPITAL LETTER J WITH STROKE
ɉ    585 0249          LATIN SMALL LETTER J WITH STROKE
Ɋ    586 024A          LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
ɋ    587 024B          LATIN SMALL LETTER Q WITH HOOK TAIL
Ɍ    588 024C          LATIN CAPITAL LETTER R WITH STROKE
ɍ    589 024D          LATIN SMALL LETTER R WITH STROKE
Ɏ    590 024E          LATIN CAPITAL LETTER Y WITH STROKE
ɏ    591 024F          LATIN SMALL LETTER Y WITH STROKE

