Char Dec Hex   Entity                     Name
     160 00A0 &nbsp;   NO-BREAK SPACE
Ï    207 00CF &Iuml;   LATIN CAPITAL LETTER I WITH DIAERESIS
Ð    208 00D0 &ETH;    LATIN CAPITAL LETTER ETH
Ñ    209 00D1 &Ntilde; LATIN CAPITAL LETTER N WITH TILDE
Ò    210 00D2 &Ograve; LATIN CAPITAL LETTER O WITH GRAVE
Ó    211 00D3 &Oacute; LATIN CAPITAL LETTER O WITH ACUTE
Ô    212 00D4 &Ocirc;  LATIN CAPITAL LETTER O WITH CIRCUMFLEX
Õ    213 00D5 &Otilde; LATIN CAPITAL LETTER O WITH TILDE
Ö    214 00D6 &Ouml;   LATIN CAPITAL LETTER O WITH DIAERESIS
×    215 00D7 &times;  MULTIPLICATION SIGN
Ø    216 00D8 &Oslash; LATIN CAPITAL LETTER O WITH STROKE
Ù    217 00D9 &Ugrave; LATIN CAPITAL LETTER U WITH GRAVE
Ú    218 00DA &Uacute; LATIN CAPITAL LETTER U WITH ACUTE
Û    219 00DB &Ucirc;  LATIN CAPITAL LETTER U WITH CIRCUMFLEX
Ü    220 00DC &Uuml;   LATIN CAPITAL LETTER U WITH DIAERESIS
Ý    221 00DD &Yacute; LATIN CAPITAL LETTER Y WITH ACUTE
Þ    222 00DE &THORN;  LATIN CAPITAL LETTER THORN
ß    223 00DF &szlig;  LATIN SMALL LETTER SHARP S
à    224 00E0 &agrave; LATIN SMALL LETTER A WITH GRAVE
á    225 00E1 &aacute; LATIN SMALL LETTER A WITH ACUTE
â    226 00E2 &acirc;  LATIN SMALL LETTER A WITH CIRCUMFLEX
ã    227 00E3 &atilde; LATIN SMALL LETTER A WITH TILDE
ä    228 00E4 &auml;   LATIN SMALL LETTER A WITH DIAERESIS
å    229 00E5 &aring;  LATIN SMALL LETTER A WITH RING ABOVE
æ    230 00E6 &aelig;  LATIN SMALL LETTER AE
ç    231 00E7 &ccedil; LATIN SMALL LETTER C WITH CEDILLA
è    232 00E8 &egrave; LATIN SMALL LETTER E WITH GRAVE
é    233 00E9 &eacute; LATIN SMALL LETTER E WITH ACUTE
ê    234 00EA &ecirc;  LATIN SMALL LETTER E WITH CIRCUMFLEX
ë    235 00EB &euml;   LATIN SMALL LETTER E WITH DIAERESIS
ì    236 00EC &igrave; LATIN SMALL LETTER I WITH GRAVE
í    237 00ED &iacute; LATIN SMALL LETTER I WITH ACUTE
î    238 00EE &icirc;  LATIN SMALL LETTER I WITH CIRCUMFLEX
ï    239 00EF &iuml;   LATIN SMALL LETTER I WITH DIAERESIS
ð    240 00F0 &eth;    LATIN SMALL LETTER ETH
ñ    241 00F1 &ntilde; LATIN SMALL LETTER N WITH TILDE
ò    242 00F2 &ograve; LATIN SMALL LETTER O WITH GRAVE
ó    243 00F3 &oacute; LATIN SMALL LETTER O WITH ACUTE
ô    244 00F4 &ocirc;  LATIN SMALL LETTER O WITH CIRCUMFLEX
õ    245 00F5 &otilde; LATIN SMALL LETTER O WITH TILDE
ö    246 00F6 &ouml;   LATIN SMALL LETTER O WITH DIAERESIS
÷    247 00F7 &divide; DIVISION SIGN
ø    248 00F8 &oslash; LATIN SMALL LETTER O WITH STROKE
ù    249 00F9 &ugrave; LATIN SMALL LETTER U WITH GRAVE
ú    250 00FA &uacute; LATIN SMALL LETTER U WITH ACUTE
û    251 00FB &ucirc;  LATIN SMALL LETTER U WITH CIRCUMFLEX
ü    252 00FC &uuml;   LATIN SMALL LETTER U WITH DIAERESIS
ý    253 00FD &yacute; LATIN SMALL LETTER Y WITH ACUTE
þ    254 00FE &thorn;  LATIN SMALL LETTER THORN
ÿ    255 00FF &yuml;   LATIN SMALL LETTER Y WITH DIAERESIS

